Book Name,Author,Description,Listening Time (mins),Main Genre
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,"Over the past three years, Jay Shetty has become one of the worlds most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the worlds number one healthrelated podcast.",654,",#1 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Success,#1 in Stress Management,#2 in Society & Culture (Books)"
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,Brought to you by Penguin.,203,",#2 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Meditation (Audible Audiobooks & Originals),#1 in Self-Esteem,#2 in Personal Success"
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"In this generationdefining selfhelp guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people.",317,",#3 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Personal Success,#16 in Personal Development & Self-Help"
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,Brought to you by Penguin.,335,",#5 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Psychology (Audible Audiobooks & Originals),#3 in Stress Management,#4 in Personal Success"
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,"Stop going through life,  Start growing through life",385,",#6 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literary Essays,#1 in Essays (Books),#1 in Spiritualism"
Sapiens,Yuval Noah Harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly.,918,",#4 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Anthropology (Audible Audiobooks & Originals),#1 in History of Civilization,#2 in Anthropology (Books)"
Extraordinary Leadership,Robin Sharma,"By completing your purchase you agree to Audibles  Conditions of Use, Amazons Privacy Notice and if applicable Audibles Recurring Payment Terms.",66,",#1 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Leadership,#1 in Business Careers"
The Intelligent Investor Rev Ed.,Benjamin Graham,The Classic Text Annotated to Update Grahams Timeless Wisdom for Todays Market Conditions,1068,",#7 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Personal Finance,#1 in Investing & Trading,#4 in Analysis & Strategy"
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Rich Dad Poor Dad will.,369,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help"
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",664,",#8 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sleep Disorders,#6 in Personal Success,#8 in Healthy Living & Wellness"
Influence: The Psychology of Persuasion,Robert B. Cialdini,"Influence, the classic book on persuasion, explains the psychology of why people say yes  and how to apply these understandings.",606,",#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books"
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of Indias most successful firstgeneration entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open An Entrepreneurial Journey as one of the most inspiring entrepreneurial selfhelp books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.",439,",#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management"
The Sandman,Neil Gaiman,"Please note This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised.",654,",#16 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy,#1 in Dark Fantasy,#16 in Fantasy (Books)"
How to Win Friends and Influence People,Dale Carnegie,"How to Win Friends and Influence People is a selfhelp book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and reprinted several times.",485,",#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help"
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,"By completing your purchase you agree to Audibles  Conditions of Use, Amazons Privacy Notice and if applicable Audibles Recurring Payment Terms.",240,Thriller & Mystery (Books)
"Thinking, Fast and Slow",Daniel Kahneman,Brought to you by Penguin.,1201,",#13 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Decision Making & Problem Solving,#3 in Psychology (Audible Audiobooks & Originals),#8 in Personal Success"
