Book Name,Author,Rating,Number of Reviews,Price,Popularity Score
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313.0,10080.0,1533.7
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658.0,615.0,16826.8
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20174.0,10378.0,88765.6
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614.0,888.0,21224.399999999998
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302.0,1005.0,19789.199999999997
Extraordinary Leadership,Robin Sharma,4.1,179.0,0.0,733.9
Sapiens,Yuval Noah Harari,4.6,19994.0,1093.0,91972.4
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253.0,18290.0,40713.200000000004
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,21936.0,837.0,98712.0
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082.0,8735.0,22360.800000000003
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0.0,154.8
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3766.0,12356.0,16570.4
The Sandman,Neil Gaiman,5.0,1.0,1171.0,5.0
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28099.0,10378.0,129255.4
How to Win Friends and Influence People,Dale Carnegie,4.5,20872.0,668.0,93924.0
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9774.0,1093.0,43005.600000000006
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,30.0
Becoming,Michelle Obama,4.6,13848.0,1093.0,63700.799999999996
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37.0,0.0,148.0
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,302.40000000000003
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810.0,1093.0,12364.000000000002
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,949.0,10378.0,4365.4
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,1843.6000000000001
Elon Musk,Ashlee Vance,4.5,6456.0,888.0,29052.0
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573.0,351.0,34835.799999999996
The Power of Your Subconscious Mind,Joseph Murphy,4.5,18330.0,99.0,82485.0
Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4477.0,836.0,20146.5
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6702.0,888.0,30159.0
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11213.0,836.0,53822.4
